"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2018-08-19T00:30:23.378+01:00","0.0","0.16"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2018-08-19T00:30:22.947+01:00","0.0","0.29"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2018-08-19T00:30:23.682+01:00","0.0","0.23"
