"Story","Title","Result","Date","Stability","Duration (s)"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2018-08-19T00:30:22.156+01:00","0.0","0.24"
"Students CRUD test","This test will create a new student","SUCCESS","2018-08-19T00:30:20.683+01:00","0.0","0.23"
"Students CRUD test","Update the user information and verify the updated information!","SUCCESS","2018-08-19T00:30:21.765+01:00","0.0","0.39"
"Students CRUD test","Verify if the student was added to the application","SUCCESS","2018-08-19T00:30:20.917+01:00","0.0","0.85"
