"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test","File does not exist","COMPROMISED","2018-08-19T00:30:19.961+01:00","0.0","0.25"
"First serenity test","Get all students","FAILURE","2018-08-19T00:30:20.207+01:00","0.0","0.14"
"First serenity test","This is a manual test","PENDING","2018-08-19T00:30:19.629+01:00","0.0","0.15"
"First serenity test","This is a pending test","PENDING","2018-08-19T00:30:19.381+01:00","0.0","0.25"
"First serenity test","This is a skipped test","IGNORED","2018-08-19T00:30:17.303+01:00","0.0","0.36"
"First serenity test","This is atest with error","ERROR","2018-08-19T00:30:17.666+01:00","0.0","0.26"
"First serenity test","This isa failing","FAILURE","2018-08-19T00:30:19.784+01:00","0.0","0.18"
"First serenity test","This test will get the information of all the students from the Student App","FAILURE","2018-08-19T00:30:17.930+01:00","0.0","1.45"
